E;11
24180.236;1.40E-04
24180.395;1.64E-04
24180.55;1.89E-04
24180.705;2.13E-04
24180.861;2.38E-04
24181.02;2.62E-04
24181.176;2.86E-04
24181.332;3.09E-04
24181.49;3.31E-04
24181.646;3.51E-04
24181.805;3.71E-04
24181.96;3.88E-04
24182.117;4.04E-04
24182.275;4.17E-04
24182.432;4.28E-04
24182.588;4.38E-04
24182.746;4.43E-04
24182.902;4.48E-04
24183.059;4.48E-04
24183.217;4.47E-04
24183.373;4.43E-04
24183.531;4.36E-04
24183.688;4.27E-04
24183.844;4.16E-04
24184.002;4.02E-04
24184.158;3.86E-04
24184.314;3.68E-04
24184.473;3.48E-04
24184.629;3.27E-04
24184.787;3.03E-04
24184.943;2.79E-04
24185.1;2.54E-04
24185.258;2.27E-04
24185.414;2.00E-04
24185.57;1.73E-04
24185.729;1.45E-04
24185.885;1.17E-04
24186.043;8.90E-05
24186.2;6.15E-05
24186.355;3.46E-05
24186.514;7.76E-06
24186.67;-1.76E-05
24186.828;-4.28E-05
24186.984;-6.57E-05
24187.14;-8.80E-05
24187.299;-1.08E-04
24187.455;-1.27E-04
24187.613;-1.45E-04
24187.77;-1.59E-04
24187.926;-1.73E-04
24188.084;-1.84E-04
24188.24;-1.93E-04
24188.398;-1.99E-04
24188.555;-2.04E-04
24188.71;-2.06E-04
24188.87;-2.06E-04
24189.023;-2.04E-04
24189.18;-2.00E-04
24189.338;-1.94E-04
24189.494;-1.85E-04
24189.652;-1.74E-04
24189.809;-1.62E-04
24189.965;-1.47E-04
24190.123;-1.31E-04
24190.28;-1.13E-04
24190.438;-9.40E-05
24190.594;-7.26E-05
24190.75;-5.07E-05
24190.908;-2.68E-05
24191.064;-2.50E-06
24191.223;2.30E-05
24191.379;4.88E-05
24191.537;7.51E-05
24191.693;1.01E-04
24191.85;1.27E-04
24192.008;1.53E-04
24192.164;1.78E-04
24192.322;2.03E-04
24192.479;2.25E-04
24192.637;2.47E-04
24192.793;2.65E-04
24192.95;2.83E-04
